date	nom	lang	pal	typo	heros	etiq	sign	rayon	mvt
2026-07-29	Alictro Electric Inc. (Ottawa, electrician)	English, FR toggle	navy #0B1526 + brand green #74FA03 (sampled from their logo)		full-bleed photo, dark gradient overlay, slow Ken Burns, text left	small red bar ::before then uppercase text. Removed later, the	animated gradient shimmer on the headline. This was a mistake, it is		
2026-07-29	Les Entreprises Ouimette & Fils (Gatineau, HVAC)	French, EN toggle (French-only source site, francophone owner)	navy #0D2A47 / #133C66 + brand red #E62824 (from their SVG logo)		two columns, portrait photo in a rounded panel right, gradient behind text	pill with tinted background, no dash	cold-to-warm gradient strip under the navbar (their trade in one line)		
2026-07-29	Ouimette & Fils, v2 (the delivered one)			Archivo (heavy, tight tracking), not Lexend. Light paper background, not a	typographic. Three stacked lines, one white / one cold blue / one warm orange	numbered 01–05 plus small uppercase text. No pill, no dash	cold-to-warm gradient strip under the nav, echoed by the blue/orange		
2026-08-03	Ambassade du Gabon au Canada (Ottawa, mission diplomatique)	French, EN toggle (French-only source site, francophone mission	taken from their own gabon.ottawa.svg, which turned out to be nothing but	EB Garamond headings + Lato body. First serif build. Institutional, and	two columns, no photo at all and no placeholder. Left is a live open/closed	oversized outlined numerals (transparent fill, 1.4px stroke)	the flag tricolour, used four ways: a fixed 7px vertical rail down the	4px throughout. Restrained, institutional	
2026-08-03	Maro Medical Aesthetics (Ottawa, med spa)	English, FR toggle (Ottawa, English-only Duda site)	lifted from their own Duda theme variables, not guessed. Button colour	Fraunces (light, italic accent) + DM Sans. Fourth distinct pairing, after	two columns, headline left, their real clinic interior right in the offset	plain letterspaced gold caps. No dash, no pill, no numeral	a gold hairline frame offset from the image, taken from the gold	20px cards, 100px pill buttons. Softer than every previous build	
2026-08-04	Divine Med Spa (Stittsville, Ottawa West, med spa)	English, FR toggle	the only build so far with no logo to sample, so it is a choice, not an	Instrument Serif display + Manrope. Fifth distinct pairing	typographic, clamp to 168px, headline assembles per character with the	small letterspaced sage caps, no rule, no numeral	the hours. They run 9 a.m. to 11 p.m. seven days, with 6 a.m. starts on		
2026-08-04	Divine MedSpa, pared-back rebuild		warm cream #FAF6EF page, sand #F1EAE0 surface, light #E2DCD1 strokes	Manrope, plus IBM Plex Mono for every micro-label, the single most				- Removals, which is what pared back actually means: the seven-cell hours band became	
2026-08-04	Paysagiste Envert & Fils (Gatineau, terrassement et paysagement)	French, EN toggle (French-only site, Gatineau, francophone owner	sampled from logo.png. Brand green #00A651 (940 sampled pixels), ink	Bricolage Grotesque + Public Sans. Sixth distinct pairing, after Lexend	staggered photo collage, a shape not previously used. Headline left, two	label inside the heading line, separated by a thin vertical rule	the sweeping curve, which is in every one of their photos (curved		scrubbed corner radius (recipe 2) on the divisions band
2026-08-04	Paysagiste Envert, v2, the Riera rebuild (delivered)		prospect's brand is green too. Bone #EFEDE6 canvas, near-black #141613 for the dark	Syne (800, very tight tracking) + Chivo 300. Seventh pairing. Bricolage	photo band underneath where the large photo bleeds 9vw past the left edge of the container		a grass clump and a fern frond, reused three times at large scale, bleeding off the edges		the marquee (17 of them on Riera, first use in any build here)
2026-08-05	Paramédika (Gatineau, clinique médico-esthétique)	français, bascule EN. Site bilingue à la source, clinique de	échantillonnée dans logo_paramedika.svg. Magenta #CC0055 et rose	Sora 600/700 + Figtree. Huitième appairage, après Lexend, Archivo	grille asymétrique, texte à gauche sur papier, champ magenta plein à droite	label vertical pivoté dans la gouttière gauche, avec un filet	le champ magenta, repris du vrai mur magenta de leur réception	elle vaut 0. Aucune ombre. Règle héritée d'Envert v2	révélation clip-path (recette 1) sur la photo de réception et
2026-08-05	Paramédika, v4, refonte au brief de la propriétaire	français, bascule EN	son échantillon, sauge clair #BCC9BB, sauge moyen #7C9080, vert profond #2F3A31	Outfit plus Inter. Dixième appairage. Outfit remplace Nohemi, le titrage de					
