slug	nom	categorie	usage	fond	temperature	accent	bg	fg	classe_titre	police_titre	classe_corps	police_corps	titre_px	corps_px	rayon_px	section_y_px	conteneur_px	allure
agentic	Agentic	Themed & Unique	libre	sombre	froid	#60a5fa	#0b1020	#f8fafc	grotesque	Inter	grotesque	Inter	48	15	12	96	1200	agent workflow interface with dark command surfaces, blue automation signals, and traceable task cards.
airbnb	Airbnb	E-Commerce & Retail	MARQUE	clair	rouge	#ff385c	#ffffff	#222222	geometrique	Airbnb Cereal VF	geometrique	Airbnb Cereal VF	44	16	14	64	1280	Canvas White surfaces, a single Rausch coral-pink accent (#ff385c), generous soft-circle radii, and Airbnb Cereal VF as the lone type
airtable	Airtable	Design & Creative	MARQUE	clair	froid	#1b61c9	#ffffff	#181d26	grotesque	Haas Groot Disp	grotesque	Haas	40	16	16	96	1200	the spreadsheet-database hybrid that talks to enterprise without shouting. A white canvas with deep-navy text, Airtable Blue as the
ant	Ant	Professional & Corporate	MARQUE	clair	rouge	#d32029	#ffffff	#1f1f1f	grotesque	Ant Sans	grotesque	Ant Sans	48	16	10	96	1200	enterprise fintech clarity, white work surfaces, sharp red intent, and compact data controls.
apple	Apple	Media & Consumer	MARQUE	clair	froid	#0071e3	#ffffff	#1d1d1f	grotesque	SF Pro Display	grotesque	SF Pro Text	56	17	12	100	1024	a precision editorial language built around white-space discipline, SF Pro typography, and a single restrained blue accent. This file
application	Application	Professional & Corporate	libre	clair	froid	#2563eb	#f6f7f9	#172033	grotesque	Inter	grotesque	Inter	42	16	12	88	1200	neutral app chrome, practical hierarchy, restrained blue action, and predictable product layout.
arc	Arc Browser	Productivity & SaaS	MARQUE	clair	rouge	#ff5f5f	#fdf3ec	#1a1a1f	serif	Argent CF	grotesque	Inter	40	15	12	96	1200	Frosted glass over a peach-coral gradient: editorial warmth, squircle- soft geometry, sidebar-first calm. The browser that browses for you.
artistic	Artistic	Creative & Artistic	libre	clair	chaud	#9b5b32	#fbf6ee	#201914	serif	Georgia	grotesque	Inter	64	17	16	112	1180	artistic gallery language with warm paper, rich accent, and expressive composition.
atelier-zero	Atelier Zero	Editorial · Studio	libre	clair	neutre	#111111	#ffffff	#111111	grotesque	Helvetica Neue	grotesque	Helvetica Neue	54	16	8	96	1180	independent studio identity with off-white canvas, sharp black type, and gallery restraint.
bento	Bento	Layout & Structure	libre	clair	froid	#2563eb	#f5f8ff	#101828	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	modular bento interface with friendly tiles, soft borders, and balanced product density.
binance	Binance.US	Fintech & Crypto	MARQUE	clair	chaud	#f0b90b	#ffffff	#1e2026	grotesque	BinancePlex	grotesque	BinancePlex	34	16	12	80	1200	the polished urgency of a crypto trading floor: white surfaces and deep near-black `#222126` panels alternating in rhythm, Binance Yellow
bmw	BMW	Automotive	MARQUE	clair	froid	#1c69d4	#ffffff	#262626	grotesque	BMWTypeNextLatin Light	grotesque	BMWTypeNextLatin	44	16	0	96	1440	German automotive precision: white-and-dark cinematic rhythm, BMW Blue as singular interactive accent, zero border-radius,
bmw-m	BMW M	Automotive	MARQUE	clair	froid	#0066b1	#f7f8fa	#111827	grotesque	BMWTypeNext	grotesque	BMWTypeNext	56	16	8	104	1220	precise motorsport interface with white engineering calm and sharp M color signals.
bold	Bold	Bold & Expressive	libre	clair	neutre	#111111	#ffffff	#111111	grotesque	Arial Black	grotesque	Inter	54	16	8	96	1180	bold campaign language with hard contrast, oversized type, and assertive actions.
brutalism	Brutalism	Bold & Expressive	libre	clair	or	#ffef5a	#f5f1e8	#000000	grotesque	Arial Black	grotesque	Arial	64	17	0	88	1160	brutalist UI with hard black lines, loud yellow action, and intentionally raw layout structure.
bugatti	Bugatti	Automotive	MARQUE	sombre	froid	#1b4d8f	#07111f	#f7fbff	serif	Bugatti Display	geometrique	Avenir Next	64	16	14	120	1200	hyper-luxury automotive calm with deep blue, chrome edges, and gallery spacing.
cafe	Cafe	Creative & Artistic	libre	clair	chaud	#9b5b32	#fbf6ee	#201914	serif	Georgia	grotesque	Inter	64	17	16	112	1180	cafe hospitality system with warm cream, espresso text, and inviting menu surfaces.
